dpe_classe,ges_classe,type_energie,consommation_kwh_m2,surface_m2,annee_construction,type_logement_immeuble,departement,code_postal,latitude,longitude,source_type
C,C,individuel,64.3,102.8,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,54.3,62.9,NA,appartement,69,69008,6516485.69,844119.53,Neuf
C,C,individuel,60.4,41.4,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,82.9,43.8,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,70.2,39.8,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,C,individuel,58.8,62.9,NA,appartement,69,69008,6516485.69,844119.53,Neuf
B,B,individuel,48.2,79.4,NA,appartement,69,69008,6516486.7,844086.75,Neuf
C,C,individuel,62.8,62.7,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,59.7,82,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,,73.3,538.1,NA,immeuble,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,61.8,81.4,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,individuel,60.6,46.7,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,83.4,43.8,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,65,78.9,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,C,individuel,69.2,64.4,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,individuel,75,84.6,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,individuel,75.2,82.8,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,individuel,76.8,60.5,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,62.1,64.7,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,individuel,60.1,40.5,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,C,individuel,54.3,62.9,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,C,individuel,71.6,40.5,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,C,individuel,71.3,62.2,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,79.4,39.7,NA,appartement,69,69008,6516485.69,844119.53,Neuf
C,C,individuel,62.4,62.7,NA,appartement,69,69008,6515446.05,846027.26,Neuf
B,B,individuel,47.3,62.9,NA,appartement,69,69008,6516473.95,843993.24,Neuf
B,B,individuel,47.9,82.8,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,62.4,62.6,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,63.1,62.9,NA,appartement,69,69008,6516485.69,844119.53,Neuf
B,B,,52.1,1100.8,NA,immeuble,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,75.7,82.8,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,individuel,70.5,60.1,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,54.3,62.9,NA,appartement,69,69008,6516486.7,844086.75,Neuf
C,C,individuel,67.4,40.5,NA,appartement,69,69008,6516486.7,844086.75,Neuf
C,C,individuel,70.2,39.8,NA,appartement,69,69008,6516486.7,844086.75,Neuf
B,B,individuel,48.5,59.1,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,55.2,40.4,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,70.4,62.2,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,73.8,37.9,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,individuel,74.8,39.8,NA,appartement,69,69008,6516485.69,844119.53,Neuf
B,B,individuel,47.3,62.9,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,60.5,47,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,82.9,43.8,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,81.1,80.7,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,individuel,57.5,40.5,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,C,individuel,56.5,60.3,NA,appartement,69,69008,6516473.95,843993.24,Neuf
B,B,individuel,48.2,79.4,NA,appartement,69,69008,6516486.7,844086.75,Neuf
B,B,individuel,48.5,59.2,NA,appartement,69,69008,6516473.95,843993.24,Neuf
B,B,individuel,48.5,59.2,NA,appartement,69,69008,6516473.95,843993.24,Neuf
B,B,individuel,47.9,82.8,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,68.8,64.7,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,individuel,73.3,62.6,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,70.2,39.8,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,C,individuel,70.4,62.2,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,,69.2,409,NA,immeuble,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,70,40.5,NA,appartement,69,69008,6516486.7,844086.75,Neuf
C,C,individuel,54.8,100.8,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,C,individuel,72.6,42.7,NA,appartement,69,69008,6515463.13,846040,Neuf
C,C,,73.8,1140.8,NA,immeuble,69,69008,6515446.05,846027.26,Neuf
C,C,individuel,51.9,83.3,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,58.6,62.9,NA,appartement,69,69008,6516485.69,844119.53,Neuf
C,C,individuel,54,62.9,NA,appartement,69,69008,6516486.7,844086.75,Neuf
C,C,individuel,80.1,37.9,NA,appartement,69,69008,6515463.13,846040,Neuf
B,B,individuel,48,75.4,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,54.3,62.9,NA,appartement,69,69008,6516486.14,844077.28,Neuf
B,B,individuel,47.4,62.6,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,87.4,41,NA,appartement,69,69008,6515446.05,846027.26,Neuf
C,C,,60.3,993.6,NA,immeuble,69,69008,6516485.69,844119.53,Neuf
C,C,individuel,54,62.9,NA,appartement,69,69008,6516486.14,844077.28,Neuf
C,A,individuel,55,27.1,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,A,individuel,55,27.1,NA,appartement,69,69008,6516473.95,843993.24,Neuf
C,C,individuel,70.2,39.8,NA,appartement,69,69008,6516485.69,844119.53,Neuf
C,C,individuel,75.1,60.7,NA,appartement,69,69008,6515463.13,846040,Neuf
C,A,individuel,57.5,32.6,NA,appartement,69,69008,6515463.13,846040,Neuf
C,A,individuel,58.4,48.1,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,A,individuel,55.6,36.2,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,A,individuel,62.4,36.1,NA,appartement,69,69008,6515736.9,846745.99,Neuf
D,A,individuel,79.3,29.3,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,A,individuel,61.4,45.3,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,A,individuel,58.4,48.1,NA,appartement,69,69008,6515736.9,846745.99,Neuf
D,A,individuel,80,32.5,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,A,individuel,55.6,36.2,NA,appartement,69,69008,6515736.9,846745.99,Neuf
D,A,individuel,79,30,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,A,individuel,77.6,33.3,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,A,individuel,57,36.2,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,73.1,61.6,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,84.8,61.7,NA,appartement,69,69008,6517077.08,845597.22,Neuf
C,C,individuel,68.2,88.6,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,74.6,22.3,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,64.5,44.7,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,77,43,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,67.6,78.8,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,53.3,91.1,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,72.2,44.1,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,60.2,93.4,NA,appartement,69,69008,6517085.8,845557.57,Neuf
B,B,individuel,87.4,71,NA,appartement,69,69008,6516557.7,846500.08,Neuf
C,C,individuel,101.3,42.3,NA,appartement,69,69008,6517077.08,845597.22,Neuf
C,C,individuel,67.9,43.2,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,71.3,65,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,84.2,69.3,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,86.1,118.1,NA,appartement,69,69008,6517077.08,845597.22,Neuf
C,C,individuel,53,59.6,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,70.1,61.9,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,81.1,64,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,66.9,67.9,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,68.3,68,NA,appartement,69,69008,6515696.68,845911.36,Neuf
